idx,domain,context,skill,span,time
0,news,Extended,"['Idea Development', 'Terminology Control', 'Modality and Attitude']","[{""start"":56,""end"":68,""text"":""Off the Hook"",""labels"":[""need context""]}]",127.334
1,news,Universal,"['Terminology Control', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":80,""end"":129,""text"":""Public Employees for Environmental Responsibility"",""labels"":[""need context""]},{""start"":25,""end"":28,""text"":""EPA"",""labels"":[""need context""]}]",18.89
2,news,Local,"['Terminology Control', 'Reference Consistency', 'Participant Focus']","[{""start"":97,""end"":99,""text"":""he"",""labels"":[""need context""]},{""start"":105,""end"":107,""text"":""me"",""labels"":[""need context""]}]",38.456
3,news,Local,"['Information Density', 'Terminology Control', 'Reference Consistency']","[{""start"":57,""end"":60,""text"":""EPA"",""labels"":[""need context""]}]",43.98
4,news,Universal,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']","[{""start"":20,""end"":23,""text"":""EPA"",""labels"":[""need context""]}]",32.399
5,news,Universal,"['Information Density', 'Terminology Control', 'Modality and Attitude']","[{""start"":133,""end"":161,""text"":""Environmental Crimes Section"",""labels"":[""need context""]},{""start"":40,""end"":43,""text"":""EPA"",""labels"":[""need context""]}]",37.322
6,news,Universal,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']","[{""start"":59,""end"":63,""text"":""ENRD"",""labels"":[""need context""]},{""start"":4,""end"":7,""text"":""EPA"",""labels"":[""need context""]}]",53.07000000000001
7,news,Universal,"['Information Density', 'Terminology Control', 'Modality and Attitude']","[{""start"":25,""end"":28,""text"":""EPA"",""labels"":[""need context""]},{""start"":53,""end"":56,""text"":""DOJ"",""labels"":[""need context""]}]",32.472
8,news,Universal,"['Information Density', 'Terminology Control', 'Reference Consistency']","[{""start"":7,""end"":38,""text"":""Environmental Integrity Project"",""labels"":[""need context""]},{""start"":59,""end"":62,""text"":""EPA"",""labels"":[""need context""]},{""start"":127,""end"":130,""text"":""DOJ"",""labels"":[""need context""]}]",28.637
9,news,Sentence-level,"['Information Density', 'Participant Focus', 'Modality and Attitude']",,24.709
