idx,domain,context,skill,span,time
0,news,Local,"['Idea Development', 'Terminology Control', 'Modality and Attitude']","[{""start"":28,""end"":68,""text"":""Letting Corporate Criminals Off the Hook"",""labels"":[""need context""]}]",36.438
1,news,Universal,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']","[{""start"":25,""end"":28,""text"":""EPA"",""labels"":[""need context""]}]",17.084
2,news,Local,"['Style Register', 'Reference Consistency', 'Modality and Attitude']","[{""start"":97,""end"":99,""text"":""he"",""labels"":[""need context""]},{""start"":105,""end"":107,""text"":""me"",""labels"":[""need context""]}]",25.198
3,news,Extended,"['Information Density', 'Style Register', 'Relational Address']","[{""start"":57,""end"":60,""text"":""EPA"",""labels"":[""need context""]}]",18.177999999999997
4,news,Universal,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":20,""end"":23,""text"":""EPA"",""labels"":[""need context""]}]",26.708
5,news,Extended,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']",,8.908
6,news,Extended,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":4,""end"":7,""text"":""EPA"",""labels"":[""need context""]},{""start"":59,""end"":63,""text"":""ENRD"",""labels"":[""need context""]}]",20.288
7,news,Universal,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":25,""end"":28,""text"":""EPA"",""labels"":[""need context""]},{""start"":53,""end"":56,""text"":""DOJ"",""labels"":[""need context""]}]",27.613
8,news,Extended,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":3,""end"":38,""text"":""the Environmental Integrity Project"",""labels"":[""need context""]},{""start"":59,""end"":62,""text"":""EPA"",""labels"":[""need context""]},{""start"":127,""end"":130,""text"":""DOJ"",""labels"":[""need context""]}]",49.782
9,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,23.111
10,news,Extended,"['Information Density', 'Reference Consistency', 'Participant Focus']","[{""start"":184,""end"":187,""text"":""DOJ"",""labels"":[""need context""]}]",25.819
11,news,Extended,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":58,""end"":61,""text"":""DOJ"",""labels"":[""need context""]}]",19.952
12,news,Sentence-level,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']","[{""start"":42,""end"":51,""text"":""rent caps"",""labels"":[""need context""]}]",20.548
13,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,24.129
14,news,Sentence-level,"['Idea Development', 'Logical Connectivity', 'Modality and Attitude']",,25.799
15,news,Sentence-level,"['Information Density', 'Terminology Control', 'Modality and Attitude']",,11.122
16,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,20.269
17,news,Sentence-level,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']",,81.724
18,news,Local,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":75,""end"":79,""text"":""this"",""labels"":[""need context""]}]",18.428
19,news,Sentence-level,"['Information Density', 'Logical Connectivity', 'Modality and Attitude']",,23.724
20,news,Sentence-level,"['Idea Development', 'Reference Consistency', 'Participant Focus']",,11.965
21,news,Sentence-level,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']",,19.903
22,news,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":68,""end"":93,""text"":""if experts are not heeded"",""labels"":[""need context""]}]",44.496
23,news,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":23,""text"":""This tapering proposal "",""labels"":[""need context""]}]",24.238
24,news,Sentence-level,"['Information Density', 'Participant Focus', 'Modality and Attitude']",,19.368
25,news,Sentence-level,"['Participant Focus', 'Modality and Attitude', 'Relational Address']",,15.58
26,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,16.411
27,news,Local,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":15,""end"":32,""text"":""this consultation"",""labels"":[""need context""]}]",24.971
28,news,Sentence-level,"['Idea Development', 'Logical Connectivity', 'Modality and Attitude']",,23.59
29,news,Sentence-level,"['Information Density', 'Logical Connectivity', 'Modality and Attitude']",,30.352
30,news,Extended,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":34,""end"":37,""text"":""PRS"",""labels"":[""need context""]}]",23.087
31,news,Extended,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":31,""end"":34,""text"":""PRS"",""labels"":[""need context""]}]",23.709
32,news,Sentence-level,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']",,19.94
33,news,Sentence-level,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']",,17.378
34,news,Universal,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']","[{""start"":97,""end"":105,""text"":""Scotsman"",""labels"":[""need context""]}]",25.209
35,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,18.647
36,news,Universal,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":105,""end"":117,""text"":""Post Office "",""labels"":[""need context""]},{""start"":52,""end"":64,""text"":""The Scotsman"",""labels"":[""need context""]},{""start"":136,""end"":156,""text"":""the Horizon scandal "",""labels"":[""need context""]}]",36.629
37,news,Sentence-level,"['Information Density', 'Idea Development', 'Modality and Attitude']",,38.489
38,news,Extended,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":79,""end"":91,""text"":""Post Office "",""labels"":[""need context""]},{""start"":122,""end"":125,""text"":""MPs"",""labels"":[""need context""]},{""start"":54,""end"":61,""text"":""Horizon"",""labels"":[""need context""]},{""start"":208,""end"":219,""text"":""Post Office"",""labels"":[""need context""]}]",34.636
39,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,11.57
40,news,Extended,"['Idea Development', 'Terminology Control', 'Modality and Attitude']","[{""start"":97,""end"":111,""text"":""Downing Street"",""labels"":[""need context""]}]",22.224
41,news,Universal,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']","[{""start"":73,""end"":107,""text"":"" ITV's Mr Bates Vs The Post Office"",""labels"":[""need context""]}]",14.379
42,news,Local,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":15,""end"":23,""text"":""inaction"",""labels"":[""need context""]}]",20.531
43,news,Sentence-level,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']",,10.879
44,news,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":9,""text"":""The first"",""labels"":[""need context""]}]",203.106
45,news,Local,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":0,""end"":10,""text"":""The second"",""labels"":[""need context""]}]",14.008
46,news,Sentence-level,"['Information Density', 'Idea Development', 'Modality and Attitude']",,20.768
47,news,Sentence-level,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']",,14.903
48,news,Extended,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']",,27.57
